start	end	text
1767760	1770480	for the longest time of why these things are so seductive.
1771120	1773520	One of the early explanations I had was that
1773520	1775760	there's this kind of like existential soothingness,
1775760	1779520	like it's really painful to be exposed to the complexity of real values
1779520	1780800	and this makes things easy.
1780800	1782000	That's one explanation.
1782000	1785280	Another explanation is that it's just easier to communicate.
1785280	1786240	And Porter tells us why.
1786240	1787920	It's been designed to be easier to communicate.
1788800	1791440	Lately, I've been thinking, I even came up with a term for it
1791440	1793760	literally yesterday in my graduate seminar,
1793760	1795280	talking to my students about this.
1795280	1798400	A lot of the times, the way we say that something is objective
1798400	1802240	versus subjective is that we get someone else's confirmation.
1802240	1804400	They see it too, right?
1804400	1807440	That is literally the basic, if you go back to like
1807440	1811600	old Hume classics of empiricist philosophy,
1812400	1816640	you know that the feeling of warmth is subjective
1816640	1819200	because different people experience it differently in the same place
1819200	1821280	and you know that temperature is objective
1821280	1824240	because different people will come up with the same measurement, right?
1824240	1828560	But I kind of think metrics do a kind of objectivity hacking, right?
1828560	1833520	They create a quick, easy shortcut to agreement and convergence
1834320	1838960	by zeroing in on features that are highly accessible.
1839760	1845280	And so this is, I feel like we're headed into like weirdo technical philosophy,
1845280	1847200	but the thing that's really interesting to me
1847200	1851360	is the difference between what's real and what's important
1852080	1854880	and what's easily observable by anybody,
1854880	1857520	especially under conditions of quickness and speed.
1858480	1864800	And metrics are designed to create easy convergence at speed among everybody.
1864800	1867280	They're a shortcut to the appearance of objectivity.
1868240	1870560	So we've talked about quite a lot there,
1870560	1873440	a lot of different pitfalls that are in this.
1873440	1876960	So sort of for someone who's listening, he's thinking, you know,
1876960	1881520	how can they avoid falling foul of these pitfalls?
1881520	1884240	You know, what can we learn from games?
1884240	1888640	And you talk about the notion of play, which is really interesting,
1888640	1891600	that we can actually apply in our own lives,
1891600	1893600	because often it can feel like a lot of these things
1893600	1895440	are just completely out of our own control.
1896080	1900400	Yeah, I mean, not only A, a lot of these systems are out of our control
1900400	1902640	and a lot of the fixes here are structural.
1902640	1906320	I'm not going to sit here and say like, we can fix this through individual grit.
1906320	1908720	Like a lot of this is because of the way the institutions work.
1909520	1913840	Even there, you can find different relationships to external scoring systems.
1914720	1918480	And it's important to remember that we do use them all the time.
1918480	1922720	Even I think even the best relationship to scoring systems in the world
1922720	1925600	is going to constantly use them because scoring systems
1925600	1929040	are a response to real needs to understand other people,
1930240	1936000	to make them transparent to us, to get information quickly.
1936000	1940400	Like I use rankings when I buy household gadgets.
1940400	1942560	I don't have the time to research every dishwasher.
1942560	1943760	I use rankings, right?
1943760	1945760	They're summarized compressed information.
1946320	1950000	What you want to do is realize that they're highly lossy,
1950560	1954800	highly information devoid, highly thin packages
1955680	1959200	that are useful, maybe a starting point that are not complete.
1959840	1964480	And I think games offer us a really good glimpse of what we can do
1964480	1967280	because I think the life that games,
1967280	1968960	it's not that they automatically give this to you,
1968960	1972080	but the life they encourage is a life in which
1972080	1975520	you enter scoring systems voluntarily
1976080	1979360	and you choose which ones you want to have
1980080	1982640	and you can modify them, right?
1982640	1984720	Like the difference in games, I mean, this is,
1984720	1987120	and this is in many ways, it's a structural difference, right?
1987120	1992480	You can house rule your poker game or your Dungeons and Dragons game.
1992480	1995200	You can't house rule GPA because of the way that metrics function.
1995840	1998640	But the closest you can approximate to that is something like,
1999360	2002640	I think games encourage something that I want to call reflective control.
2002640	2005520	So games encourage trying a scoring system
2005520	2009600	and then not just assuming that we have to play this particular board game forever,
2009600	2012480	but thinking afterwards, was it worth it?
2012480	2013120	Was it fun?
2013120	2015840	And what you're doing is transitioning between
2015840	2018240	being absorbed in a particular game goal
2018240	2020480	and reflecting more deeply on its purpose
2020480	2022880	and whether that purpose was rich or meaningful to you.
2022880	2024880	And you can just decide, now that game sucked,
2024880	2025760	I'm not going to play it again.
2025760	2028000	Or that game was kind of good, but I'm going to modify it.
2028000	2031680	You have some degree of control and games make that easy
2031680	2033680	because there are so many and they're so disconnected.
2034400	2035520	I think that's the right attitude.
2035520	2037120	It's much harder to apply in the world
2037120	2041520	because you don't have these isolated, easily movable between packages
2041520	2042320	like you do with games.
2042320	2044800	You get these massive world-spanning systems.
2044800	2049200	But still, there's a difference between treating your subscriber count
2049200	2053200	or your likes or your page views as a rough proxy
2053200	2054800	that gives you some information
2054800	2057360	versus treating it, taking on as your core value.
2058960	2061680	I think one crucial part of that is,
2062480	2063920	if you take it on as your core value,
2063920	2066320	you don't have a standpoint from which to reflect
2066320	2067760	on whether it's working out for you.
2067760	2069920	If you think the point of your life is just to make the most money
2069920	2072880	or get the most followers, then that's it.
2072880	2074240	That's just what you're doing.
2074240	2075520	But if you're thinking to yourself,
2075520	2079120	I'm trying to get followers in order to communicate
2079120	2082320	and connect with people, then you have a stance
2082320	2085040	from which you can limit your devotion to that simple metric.
2086000	2088480	Thank you for listening to this episode of Instant Genius,
2088480	2091360	brought to you from the team behind BBC Science Focus.
2091360	2093120	That was C.T. Newman.
2093120	2095520	To discover more about the topics we've just discussed,
2095520	2097600	check out his book, The Score,
2097600	2100000	How to Stop Playing Someone Else's Game.
2100000	2101360	If you liked what you just heard,
2101360	2103840	then please do consider subscribing to Instant Genius
2103840	2106000	on your preferred podcast platform.
2106000	2108160	If you'd like to see our guests and hosts in person,
2108160	2110160	then why not check out our YouTube channel,
2110160	2111920	at Science Focus.
2111920	2114000	The current issue of BBC Science Focus
2114000	2115440	magazine is out now.
2115440	2117920	Pick up a copy wherever you buy your favourite magazines
2117920	2120320	or download us on your app store of choice.
2120320	2123280	You can also find us on Apple News or online
2123280	2124800	at sciencefocus.com.
2124800	2127760	Deepen your subject knowledge, exchange innovative ideas,
2127760	2129520	and augment your existing income.
2129520	2132720	There are so many reasons to become a Pearson Examiner.
2132720	2134640	In addition to enriching your expertise
2134640	2136720	and progressing your career, you'll be better prepared
2136720	2140080	to help your learners achieve future success in their exams.
2140080	2142560	With flexible working options and full training,
2142560	2144560	you'll be able to make the most of your time
2144560	2146560	and make the most of your time.
2146560	2148560	You'll be able to make the most of your time
2148560	2150560	and make the most of your time.
2150560	2152560	You'll be able to make the most of your time
2152720	2155440	With flexible working options and full training provided,
2155440	2158080	becoming a Pearson Examiner will open opportunities
2158080	2159600	for both you and your students.
2159600	2162080	It's a bonafide win-win situation.
2162080	2165600	Discover more by visiting home.edXLgateway.com
2165600	2168160	forward slash pages forward slash search.
2168160	2170960	Hello, I'm a National Lottery scratch card.
2170960	2173680	Over five people a second win with me.
2173680	2176240	That's like 30 winners since I started talking.
2176240	2177840	Oh, 12 more.
2177840	2178880	14.
2178880	2180480	21.
2180480	2182320	Is there a winning star for you?
2182320	2184720	Play a National Lottery scratch card today.
2184720	2185760	Winners is an average search.
2185760	2186560	Dream big, play small.
2186560	2188560	Rules apply, players must be 18 or over.
